#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Brock Bowen,,,,"Offense, Defense, P&R BH, P&R Roll Man, 3FGm, Def Reb",Miss 3 Pts,00:00:23.5,,,Rochester Institute of Technology Tigers,RIT@UNY,12/02/2023,1,19:43,Kenny Wilburn,10 Brock Bowen > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Kenny Wilburn > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
2,Edward Baptiste,,,,"Offense, Defense, Spot Up, 2FGM, Foul",1 Pts,00:00:21.1,,,Union (NY) Dutchmen,RIT@UNY,12/02/2023,1,19:28,Edward Baptiste,22 Edward Baptiste > Spot-Up > Drives Left > To Basket > Make 2 Pts Foul > 1 Pts,
3,Edward Baptiste,,,,"Offense, FTM",Free Throw,00:00:10.7,,,Union (NY) Dutchmen,RIT@UNY,12/02/2023,1,19:28,Edward Baptiste,22 Edward Baptiste > Non Possession > Free Throw,
4,Brody Brown,,,,"Offense, P&R BH, Spot Up, 2FGm",Miss 2 Pts,00:00:31.9,,,Rochester Institute of Technology Tigers,RIT@UNY,12/02/2023,1,18:57,Keegan Ocorr,12 Brody Brown > P&R Ball Handler > Left P&R > Side > Defense Commits > Ball Delivered > 1 Keegan Ocorr > Spot-Up > Drives Right > To Basket > Miss 2 Pts,
5,Kenny Wilburn,,,,"Offense, Off Reb, 2FGM, Off Reb",Make 2 Pts,00:00:08.9,,,Rochester Institute of Technology Tigers,RIT@UNY,12/02/2023,1,18:57,Kenny Wilburn,3 Kenny Wilburn > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,
6,Connor Cepiel,,,,"Offense, Defense, Off Screen, Turnover, Steal",Turnover,00:00:18.1,,,Union (NY) Dutchmen,RIT@UNY,12/02/2023,1,18:40,Connor Cepiel,15 Connor Cepiel > Off Screen > To Shooter's Right > Straight > Turnover,
7,Keegan Ocorr,,,,"Offense, Cut, 2FGM, Assist",Make 2 Pts,00:00:18.4,,,Rochester Institute of Technology Tigers,RIT@UNY,12/02/2023,1,18:28,Keegan Ocorr,1 Keegan Ocorr > Cut > Basket > Make 2 Pts,
8,Edward Baptiste,,,,"Offense, Spot Up, Turnover",Turnover,00:00:15.1,,,Union (NY) Dutchmen,RIT@UNY,12/02/2023,1,18:15,Edward Baptiste,22 Edward Baptiste > Spot-Up > Drives Left > Turnover,
9,Kenny Wilburn,,,,"Offense, Defense, Spot Up, 2FGm, Def Reb",Miss 2 Pts,00:00:30.2,,,Rochester Institute of Technology Tigers,RIT@UNY,12/02/2023,1,17:46,Kenny Wilburn,3 Kenny Wilburn > Spot-Up > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts,
10,Tanner Tedesco,,,,"Offense, Transition, 2FGM",Make 2 Pts,00:00:11.8,,,Union (NY) Dutchmen,RIT@UNY,12/02/2023,1,17:37,Tanner Tedesco,5 Tanner Tedesco > Transition > Ballhandler > To Basket > Make 2 Pts,
11,Brody Brown,,,,"Offense, Defense, Off Screen, 3FGm, Def Reb",Miss 3 Pts,00:00:11.1,,,Rochester Institute of Technology Tigers,RIT@UNY,12/02/2023,1,17:22,Brody Brown,12 Brody Brown > Off Screen > To Shooter's Right > Flare > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
12,Tanner Tedesco,,,,"Offense, Defense, Transition Turnover, Turnover, Steal",Turnover,00:00:11.5,,,Union (NY) Dutchmen,RIT@UNY,12/02/2023,1,17:14,Tanner Tedesco,5 Tanner Tedesco > Transition > Ballhandler > Turnover,
13,Brody Brown,,,,"Defense, Foul",Non Shooting Foul,00:00:08.5,,,Rochester Institute of Technology Tigers,RIT@UNY,12/02/2023,1,17:13,Brody Brown,12 Brody Brown > Non Possession > Non Shooting Foul,
14,Brody Brown,,,,"Offense, Foul, Turnover",Turnover,00:00:17.1,,,Rochester Institute of Technology Tigers,RIT@UNY,12/02/2023,1,16:58,Brody Brown,12 Brody Brown > No Play Type > Turnover,
15,Jack Plesser,,,,"Offense, Defense, Post Up, 2FGm, Def Reb",Miss 2 Pts,00:00:21.5,,,Union (NY) Dutchmen,RIT@UNY,12/02/2023,1,16:41,Jack Plesser,33 Jack Plesser > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Miss 2 Pts,
16,Chase Dickens,,,,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:32.0,,,Rochester Institute of Technology Tigers,RIT@UNY,12/02/2023,1,16:15,Chase Dickens,11 Chase Dickens > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
17,Jack Plesser,,,,"Offense, Defense, Spot Up, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:29.8,,,Union (NY) Dutchmen,RIT@UNY,12/02/2023,1,16:12,Jack Plesser,33 Jack Plesser > Spot-Up > Drives Right > To Basket > Miss 2 Pts,
18,Brock Bowen,,,,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,00:00:13.9,,,Rochester Institute of Technology Tigers,RIT@UNY,12/02/2023,1,15:40,Brock Bowen,10 Brock Bowen > Transition > First Middle > To Basket > Miss 2 Pts,
19,Jack Plesser,,,,"Offense, P&R BH, Spot Up, 3FGm",Miss 3 Pts,00:00:34.9,,,Union (NY) Dutchmen,RIT@UNY,12/02/2023,1,15:13,Connor Cepiel,33 Jack Plesser > P&R Ball Handler > High P&R > Defense Commits > Ball Delivered > 15 Connor Cepiel > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
