#,Title,Synergy Tags,Result,Team,Pd.,Clock,Player,Synergy String
1,Matt Caggiano,"Offense, P&R BH, Spot Up, 3FGM, Assist",Make 3 Pts,Rochester Institute of Technology Tigers,1,19:47,Brock Bowen,5 Matt Caggiano > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 10 Brock Bowen > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
2,Tyler Cardello,"Offense, Cut, Turnover",Turnover,Elmira,1,19:23,Tyler Cardello,30 Tyler Cardello > Cut > Basket > Turnover
3,Matt Caggiano,"Offense, Turnover",Turnover,Rochester Institute of Technology Tigers,1,19:16,Matt Caggiano,5 Matt Caggiano > No Play Type > Turnover
4,Riley Spencer,"Offense, Defense, Handoff, 3FGm, Def Reb",Miss 3 Pts,Elmira,1,19:08,Riley Spencer,14 Riley Spencer > Hand Off > From Dribble > Top > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
5,Kenny Wilburn,"Offense, Defense, Cut, Turnover, Steal",Turnover,Rochester Institute of Technology Tigers,1,18:53,Kenny Wilburn,3 Kenny Wilburn > Cut > Basket > Turnover
6,Marc Anthony Artuz,"Offense, Cut, 2FGm",Miss 2 Pts,Elmira,1,18:30,Marc Anthony Artuz,23 Marc Anthony Artuz > Cut > Basket > Miss 2 Pts
7,Brock Bowen,"Offense, Defense, P&R BH, Spot Up, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,1,18:04,Jackson Otis,10 Brock Bowen > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 25 Jackson Otis > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
8,Dylan Jacob,"Offense, Defense, Post Up, Foul",Foul,Elmira,1,17:51,Dylan Jacob,1 Dylan Jacob > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Foul
9,Dylan Jacob,"Offense, FTM",Free Throw,Elmira,1,17:51,Dylan Jacob,1 Dylan Jacob > Non Possession > Free Throw
10,Dylan Jacob,"Offense, FTM",Free Throw,Elmira,1,17:51,Dylan Jacob,1 Dylan Jacob > Non Possession > Free Throw
11,Kenny Wilburn,"Offense, Defense, Spot Up, 2FGM, Foul",1 Pts,Rochester Institute of Technology Tigers,1,17:37,Kenny Wilburn,3 Kenny Wilburn > Spot-Up > Drives Right > To Basket > Make 2 Pts Foul > 1 Pts
12,Kenny Wilburn,"Offense, Defense, FTm, Def Reb",Free Throw,Rochester Institute of Technology Tigers,1,17:36,Kenny Wilburn,3 Kenny Wilburn > Non Possession > Free Throw
13,Tyler Cardello,"Offense, Spot Up, 3FGm",Miss 3 Pts,Elmira,1,17:28,Tyler Cardello,30 Tyler Cardello > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
14,Brody Brown,"Offense, Cut, 2FGM, Assist",Make 2 Pts,Rochester Institute of Technology Tigers,1,17:13,Brody Brown,12 Brody Brown > Cut > Screen > Make 2 Pts
15,Marc Anthony Artuz,"Offense, Defense, Handoff, Turnover, Steal",Turnover,Elmira,1,16:57,Marc Anthony Artuz,23 Marc Anthony Artuz > Hand Off > From Stationary > Left > Turnover
16,Matt Caggiano,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,Rochester Institute of Technology Tigers,1,16:52,Matt Caggiano,5 Matt Caggiano > Transition > Ballhandler > To Basket > Miss 2 Pts
17,Riley Spencer,"Offense, Transition, 2FGM",Make 2 Pts,Elmira,1,16:45,Riley Spencer,14 Riley Spencer > Transition > Left Wing > To Basket > Make 2 Pts
18,Matt Caggiano,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,Rochester Institute of Technology Tigers,1,16:35,Matt Caggiano,5 Matt Caggiano > Transition > Left Wing > Dribble Jumper > Short to < 17' > Miss 2 Pts
19,Owen Evans,"Offense, Post Up, 2FGM, Assist",Make 2 Pts,Elmira,1,16:11,Owen Evans,22 Owen Evans > Post-Up > Right Block > Left Shoulder > Dribble Move > To Jumper > Make 2 Pts
20,Matt Caggiano,"Offense, Defense, P&R BH, Spot Up, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,1,15:55,Brock Bowen,5 Matt Caggiano > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 10 Brock Bowen > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
21,Marc Anthony Artuz,"Offense, Transition, 2FGM, Assist",Make 2 Pts,Elmira,1,15:45,Marc Anthony Artuz,23 Marc Anthony Artuz > Transition > Leak Outs > To Basket > Make 2 Pts
22,Brock Bowen,"Offense, Defense, Spot Up, 2FGm, Def Reb",Miss 2 Pts,Rochester Institute of Technology Tigers,1,15:21,Brock Bowen,10 Brock Bowen > Spot-Up > Drives Right > To Basket > Miss 2 Pts
23,Riley Spencer,"Offense, Handoff, 2FGm",Miss 2 Pts,Elmira,1,15:01,Riley Spencer,14 Riley Spencer > Hand Off > From Stationary > Right > Dribble Jumper > Short to < 17' > Miss 2 Pts
24,Dylan Jacob,"Offense, Off Reb, 2FGM, Off Reb",Make 2 Pts,Elmira,1,15:01,Dylan Jacob,1 Dylan Jacob > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
25,Matt Caggiano,"Offense, 2FGM",Make 2 Pts,Rochester Institute of Technology Tigers,1,14:46,Matt Caggiano,5 Matt Caggiano > No Play Type > To Basket > Make 2 Pts
26,Tyler Cardello,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,Elmira,1,14:29,Tyler Cardello,30 Tyler Cardello > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
27,Matt Caggiano,"Offense, Defense, Handoff, Foul",Foul,Rochester Institute of Technology Tigers,1,14:10,Matt Caggiano,5 Matt Caggiano > Hand Off > From Stationary > Top > To Basket > Foul
28,Matt Caggiano,"Offense, FTm",Free Throw,Rochester Institute of Technology Tigers,1,14:10,Matt Caggiano,5 Matt Caggiano > Non Possession > Free Throw
29,Matt Caggiano,"Offense, Defense, FTm, Def Reb",Free Throw,Rochester Institute of Technology Tigers,1,14:09,Matt Caggiano,5 Matt Caggiano > Non Possession > Free Throw
30,Owen Evans,"Offense, Defense, Turnover, Steal",Turnover,Elmira,1,13:53,Owen Evans,22 Owen Evans > No Play Type > Turnover
31,Jackson Otis,"Offense, Cut, 2FGM, Assist",Make 2 Pts,Rochester Institute of Technology Tigers,1,13:40,Jackson Otis,25 Jackson Otis > Cut > Basket > Make 2 Pts
32,Tyler Cardello,"Offense, Spot Up, 2FGM",Make 2 Pts,Elmira,1,13:15,Tyler Cardello,30 Tyler Cardello > Spot-Up > Drives Right > To Basket > Make 2 Pts
33,Jackson Otis,"Offense, Transition, 3FGM, Assist",Make 3 Pts,Rochester Institute of Technology Tigers,1,13:07,Jackson Otis,25 Jackson Otis > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
34,Tyler Cardello,"Offense, Handoff, 3FGm",Miss 3 Pts,Elmira,1,12:44,Tyler Cardello,30 Tyler Cardello > Hand Off > From Dribble > Top > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
35,Marc Anthony Artuz,"Offense, Off Reb, Off Reb",Run Offense,Elmira,1,12:44,Marc Anthony Artuz,23 Marc Anthony Artuz > Offensive Rebound > Short > Run Offense
36,Tyler Cardello,"Offense, Spot Up, 3FGm",Miss 3 Pts,Elmira,1,12:31,Tyler Cardello,30 Tyler Cardello > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
37,Marc Anthony Artuz,"Offense, Off Reb, Off Reb",Run Offense,Elmira,1,12:31,Marc Anthony Artuz,23 Marc Anthony Artuz > Offensive Rebound > Short > Run Offense
38,Carter Seeberger,"Offense, Cut, 2FGM, Assist",Make 2 Pts,Elmira,1,12:25,Carter Seeberger,10 Carter Seeberger > Cut > Basket > Make 2 Pts
39,Matt Caggiano,"Offense, Defense, Handoff, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,1,12:12,Matt Caggiano,5 Matt Caggiano > Hand Off > From Dribble > Right > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
40,Tyler Cardello,"Offense, Defense, Transition, 2FGm, Block, Blocked Attempt",Miss 2 Pts,Elmira,1,12:02,Tyler Cardello,30 Tyler Cardello > Transition > Right Wing > To Basket > Miss 2 Pts
41,Riley Spencer,"Offense, Defense, Off Reb, Off Reb, Foul",Foul,Elmira,1,12:02,Riley Spencer,14 Riley Spencer > Offensive Rebound > Long > Scoring Attempt > Short to < 17' > Foul
42,Riley Spencer,"Offense, FTM",Free Throw,Elmira,1,12:00,Riley Spencer,14 Riley Spencer > Non Possession > Free Throw
43,Riley Spencer,"Offense, FTM",Free Throw,Elmira,1,12:00,Riley Spencer,14 Riley Spencer > Non Possession > Free Throw
44,Brandon Weiss,"Offense, Defense, Off Screen, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,1,11:46,Brandon Weiss,4 Brandon Weiss > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
45,Carter Seeberger,"Offense, Cut, 2FGM, Assist",Make 2 Pts,Elmira,1,11:26,Carter Seeberger,10 Carter Seeberger > Cut > Flash > Make 2 Pts
46,Josiah Turner,"Offense, Transition, 2FGM, Assist",Make 2 Pts,Rochester Institute of Technology Tigers,1,11:17,Josiah Turner,33 Josiah Turner > Transition > First Middle > To Basket > Make 2 Pts
47,Marc Anthony Artuz,"Offense, Defense, Spot Up, 2FGm, Def Reb",Miss 2 Pts,Elmira,1,11:07,Marc Anthony Artuz,23 Marc Anthony Artuz > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
48,Brody Brown,"Defense, Foul",Non Shooting Foul,Rochester Institute of Technology Tigers,1,10:59,Brody Brown,12 Brody Brown > Non Possession > Non Shooting Foul
49,Zac Ditzel,"Offense, P&R BH, P&R Roll Man, 2FGm",Miss 2 Pts,Rochester Institute of Technology Tigers,1,10:47,Brody Brown,20 Zac Ditzel > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 12 Brody Brown > P&R Roll Man > Pick and Pops > Drives Left > To Basket > Miss 2 Pts
50,Brody Brown,"Offense, Off Reb, Off Reb",Run Offense,Rochester Institute of Technology Tigers,1,10:47,Brody Brown,12 Brody Brown > Offensive Rebound > Long > Run Offense
51,Zac Ditzel,"Offense, Spot Up, 3FGm",Miss 3 Pts,Rochester Institute of Technology Tigers,1,10:43,Zac Ditzel,20 Zac Ditzel > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
52,Zac Ditzel,"Offense, Off Reb, Off Reb, Turnover",Turnover,Rochester Institute of Technology Tigers,1,10:43,Zac Ditzel,20 Zac Ditzel > Offensive Rebound > Long > Turnover
53,Carter Seeberger,"Offense, Defense, Spot Up, 2FGm, Def Reb",Miss 2 Pts,Elmira,1,10:22,Carter Seeberger,10 Carter Seeberger > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts
