#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Finn Cork,,,,"Offense, Defense, Cut, 2FGm, Def Reb",Miss 2 Pts,00:00:30.9,,,Clarkson University Golden Knights,RIT@CU,01/19/2024,1,19:35,Finn Cork,40 Finn Cork > Cut > Flash > Miss 2 Pts,
2,Brock Bowen,,,,"Offense, Defense, P&R BH, P&R Roll Man, Turnover, Steal",Turnover,00:00:13.9,,,Rochester Institute of Technology Tigers,RIT@CU,01/19/2024,1,19:19,Josiah Turner,10 Brock Bowen > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Josiah Turner > P&R Roll Man > Pick and Pops > Drives Left > Turnover,
3,Finn Cork,,,,"Offense, Defense, Post Up, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:20.2,,,Clarkson University Golden Knights,RIT@CU,01/19/2024,1,19:07,Finn Cork,40 Finn Cork > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,
4,Chase Dickens,,,,"Offense, P&R BH, 3FGM",Make 3 Pts,00:00:33.7,,,Rochester Institute of Technology Tigers,RIT@CU,01/19/2024,1,18:40,Chase Dickens,11 Chase Dickens > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,
5,Jack Dalgety,,,,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:14.4,,,Clarkson University Golden Knights,RIT@CU,01/19/2024,1,18:23,Jack Dalgety,21 Jack Dalgety > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
6,Keegan Ocorr,,,,"Offense, Transition, 2FGM",Make 2 Pts,00:00:12.8,,,Rochester Institute of Technology Tigers,RIT@CU,01/19/2024,1,18:16,Keegan Ocorr,1 Keegan Ocorr > Transition > Ballhandler > To Basket > Make 2 Pts,
7,Braeden Burns,,,,"Offense, Defense, Handoff, 2FGm, Def Reb",Miss 2 Pts,00:00:15.9,,,Clarkson University Golden Knights,RIT@CU,01/19/2024,1,17:58,Braeden Burns,15 Braeden Burns > Hand Off > From Dribble > Right > To Basket > Miss 2 Pts,
8,Josiah Turner,,,,"Offense, Transition, 2FGM, Assist",Make 2 Pts,00:00:12.2,,,Rochester Institute of Technology Tigers,RIT@CU,01/19/2024,1,17:51,Josiah Turner,33 Josiah Turner > Transition > First Middle > To Basket > Make 2 Pts,
9,Ryan Miles-Ferguson,,,,"Offense, Defense, Iso, Turnover, Steal",Turnover,00:00:21.5,,,Clarkson University Golden Knights,RIT@CU,01/19/2024,1,17:33,Ryan Miles-Ferguson,3 Ryan Miles-Ferguson > ISO > Top > Drives Left > Defense Commits > Turnover,
10,Josiah Turner,,,,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:17.9,,,Rochester Institute of Technology Tigers,RIT@CU,01/19/2024,1,17:17,Josiah Turner,33 Josiah Turner > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
11,Finn Cork,,,,"Offense, Cut, Turnover",Turnover,00:00:19.7,,,Clarkson University Golden Knights,RIT@CU,01/19/2024,1,17:03,Finn Cork,40 Finn Cork > Cut > Basket > Turnover,
