#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Trey Syroka,,,,"Offense, 2FGm",Miss 2 Pts,00:00:11.8,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,19:57,Trey Syroka,2 Trey Syroka > No Play Type > To Basket > Miss 2 Pts,
2,Gavin Macaulay,,,,"Offense, Defense, Off Reb, Off Reb, Foul",Run Offense,00:00:07.4,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,19:57,Gavin Macaulay,13 Gavin Macaulay > Offensive Rebound > Short > Run Offense,
3,Aiden Macaulay,,,,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:22.0,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,19:39,Aiden Macaulay,23 Aiden Macaulay > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
4,Jackson Otis,,,,"Offense, Defense, Cut, 2FGm, Def Reb",Miss 2 Pts,00:00:23.1,,,Rochester Institute of Technology Tigers,RIT@SLS,01/20/2024,1,19:21,Jackson Otis,25 Jackson Otis > Cut > Flash > Miss 2 Pts,
5,Andrew Cowan,,,,"Offense, Transition, 2FGM, Assist",Make 2 Pts,00:00:09.7,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,19:14,Andrew Cowan,24 Andrew Cowan > Transition > First Middle > To Basket > Make 2 Pts,
6,Brock Bowen,,,,,Kicked Ball,00:00:15.5,,,Rochester Institute of Technology Tigers,RIT@SLS,01/20/2024,,,Brock Bowen,10 Brock Bowen > Non Possession > Kicked Ball,
7,Chase Dickens,,,,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:20.7,,,Rochester Institute of Technology Tigers,RIT@SLS,01/20/2024,1,18:41,Chase Dickens,11 Chase Dickens > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
8,Gavin Macaulay,,,,"Offense, P&R BH, P&R Roll Man, 3FGM, Assist",Make 3 Pts,00:00:28.3,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,18:15,Adam Dudzinski,13 Gavin Macaulay > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Adam Dudzinski > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
9,Brock Bowen,,,,"Offense, Defense, P&R BH, 2FGm, Def Reb",Miss 2 Pts,00:00:14.5,,,Rochester Institute of Technology Tigers,RIT@SLS,01/20/2024,1,18:00,Brock Bowen,10 Brock Bowen > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,
10,Aiden Macaulay,,,,"Offense, Defense, Transition Turnover, Turnover, Steal",Turnover,00:00:15.6,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,17:48,Aiden Macaulay,23 Aiden Macaulay > Transition > Ballhandler > Turnover,
11,Chase Dickens,,,,"Offense, Defense, Transition Turnover, Turnover, Steal",Turnover,00:00:13.1,,,Rochester Institute of Technology Tigers,RIT@SLS,01/20/2024,1,17:42,Chase Dickens,11 Chase Dickens > Transition > Left Wing > Turnover,
12,Andrew Cowan,,,,"Offense, Transition, 2FGM, Assist",Make 2 Pts,00:00:12.7,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,17:34,Andrew Cowan,24 Andrew Cowan > Transition > First Middle > To Basket > Make 2 Pts,
13,Brock Bowen,,,,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:21.5,,,Rochester Institute of Technology Tigers,RIT@SLS,01/20/2024,1,17:07,Brock Bowen,10 Brock Bowen > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
14,Adam Dudzinski,,,,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:25.7,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,16:40,Adam Dudzinski,33 Adam Dudzinski > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
15,Keegan Ocorr,,,,"Offense, Defense, Cut, Turnover, Steal",Turnover,00:00:13.3,,,Rochester Institute of Technology Tigers,RIT@SLS,01/20/2024,1,16:23,Keegan Ocorr,1 Keegan Ocorr > Cut > Flash > Turnover,
16,Trey Syroka,,,,"Offense, Transition, 3FGM, Assist",Make 3 Pts,00:00:11.5,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,16:16,Trey Syroka,2 Trey Syroka > Transition > Left Wing > Dribble Jumper > Long/3pt > Make 3 Pts,
17,Brock Bowen,,,,"Offense, Defense, Cut, 2FGm, Def Reb",Miss 2 Pts,00:00:15.3,,,Rochester Institute of Technology Tigers,RIT@SLS,01/20/2024,1,16:01,Brock Bowen,10 Brock Bowen > Cut > Flash > Miss 2 Pts,
18,Gavin Macaulay,,,,"Offense, Spot Up, 2FGM",Make 2 Pts,00:00:23.8,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,15:44,Gavin Macaulay,13 Gavin Macaulay > Spot-Up > Drives Left > To Basket > Make 2 Pts,
19,Brock Bowen,,,,"Offense, Defense, P&R BH, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:21.6,,,Rochester Institute of Technology Tigers,RIT@SLS,01/20/2024,1,15:20,Jackson Otis,10 Brock Bowen > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 25 Jackson Otis > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
20,Aiden Macaulay,,,,"Offense, Iso, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:28.1,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,14:57,Adam Dudzinski,23 Aiden Macaulay > ISO > Left > Drives Left > Defense Commits > Ball Delivered > 33 Adam Dudzinski > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
21,Josiah Turner,,,,"Offense, Defense, Cut, 2FGm, Def Reb",Miss 2 Pts,00:00:19.0,,,Rochester Institute of Technology Tigers,RIT@SLS,01/20/2024,1,14:34,Josiah Turner,33 Josiah Turner > Cut > Flash > Miss 2 Pts,
22,Andrew Cowan,,,,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,00:00:14.3,,,St. Lawrence Saints,RIT@SLS,01/20/2024,1,14:26,Andrew Cowan,24 Andrew Cowan > Transition > Trailer > To Basket > Miss 2 Pts,
