#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Dylan Perry,,,,"Offense, Defense, P&R BH, P&R Roll Man, Foul",Foul,00:00:29.7,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,16:32,Cody Schneider,2 Dylan Perry > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 22 Cody Schneider > P&R Roll Man > Slips the Pick > To Basket > Foul,
2,Cody Schneider,,,,"Offense, FTM",Free Throw,00:00:07.6,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,16:32,Cody Schneider,22 Cody Schneider > Non Possession > Free Throw,
3,Cody Schneider,,,,"Offense, FTM",Free Throw,00:00:09.5,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,16:32,Cody Schneider,22 Cody Schneider > Non Possession > Free Throw,
4,Kenny Wilburn,,,,"Offense, Cut, 2FGM, Assist",Make 2 Pts,00:00:31.2,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,16:01,Kenny Wilburn,3 Kenny Wilburn > Cut > Basket > Make 2 Pts,
5,Ryan Rosa,,,,"Offense, Post Up, Spot Up, 2FGM",Make 2 Pts,00:00:16.2,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,15:42,Cody Schneider,10 Ryan Rosa > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 22 Cody Schneider > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,
6,Matt Caggiano,,,,"Offense, Defense, P&R BH, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:21.7,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,15:21,Brody Brown,5 Matt Caggiano > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Brody Brown > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
7,Ryan Rosa,,,,"Offense, Transition, 2FGM",Make 2 Pts,00:00:12.0,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,15:14,Ryan Rosa,10 Ryan Rosa > Transition > Ballhandler > Dribble Jumper > Short to < 17' > Make 2 Pts,
8,Chase Dickens,,,,"Offense, Defense, Iso, Cut, 2FGm, Def Reb",Miss 2 Pts,00:00:23.9,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,14:49,Kenny Wilburn,11 Chase Dickens > ISO > Right > Drives Left > Defense Commits > Ball Delivered > 3 Kenny Wilburn > Cut > Basket > Miss 2 Pts,
9,Paris Jamison,,,,"Offense, Transition, 2FGM, Assist",Make 2 Pts,00:00:15.9,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,14:42,Paris Jamison,12 Paris Jamison > Transition > Right Wing > To Basket > Make 2 Pts,
10,Matt Caggiano,,,,"Offense, P&R BH, 2FGM",Make 2 Pts,00:00:18.7,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,14:22,Matt Caggiano,5 Matt Caggiano > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Make 2 Pts,
11,Michael Miller,,,,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:18.6,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,14:07,Michael Miller,11 Michael Miller > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
12,Kenny Wilburn,,,,"Offense, Transition, 2FGM, Assist",Make 2 Pts,00:00:14.9,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,13:57,Kenny Wilburn,3 Kenny Wilburn > Transition > First Middle > To Basket > Make 2 Pts,
13,Dylan Perry,,,,"Offense, P&R BH, Spot Up, 2FGM",Make 2 Pts,00:00:17.2,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,13:41,Ryan Rosa,2 Dylan Perry > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 10 Ryan Rosa > Spot-Up > Drives Right > To Basket > Make 2 Pts,
14,Matt Caggiano,,,,"Offense, P&R BH, P&R Roll Man, 3FGM, Assist",Make 3 Pts,00:00:20.5,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,13:15,Kenny Wilburn,5 Matt Caggiano > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Kenny Wilburn > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
15,Dylan Perry,,,,"Offense, Defense, Handoff, 2FGm, Def Reb",Miss 2 Pts,00:00:19.6,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,12:59,Dylan Perry,2 Dylan Perry > Hand Off > From Dribble > Right > To Basket > Miss 2 Pts,
16,Chase Dickens,,,,"Offense, Transition, 2FGM",Make 2 Pts,00:00:17.2,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,12:49,Chase Dickens,11 Chase Dickens > Transition > Ballhandler > Dribble Jumper > Short to < 17' > Make 2 Pts,
17,Dylan Perry,,,,"Offense, P&R BH, Spot Up, 2FGM",Make 2 Pts,00:00:29.8,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,12:30,Ryan Rosa,2 Dylan Perry > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 10 Ryan Rosa > Spot-Up > Drives Left > To Basket > Make 2 Pts,
18,Matt Caggiano,,,,"Offense, P&R BH, 2FGm",Miss 2 Pts,00:00:13.4,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,12:18,Matt Caggiano,5 Matt Caggiano > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,
19,Kenny Wilburn,,,,"Offense, Off Reb, Off Reb",Run Offense,00:00:09.1,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,12:18,Kenny Wilburn,3 Kenny Wilburn > Offensive Rebound > Short > Run Offense,
20,Kenny Wilburn,,,,"Offense, Defense, Post Up, 2FGm, Def Reb",Miss 2 Pts,00:00:23.1,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,12:04,Kenny Wilburn,3 Kenny Wilburn > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,
21,Paris Jamison,,,,"Offense, Defense, Turnover, Steal",Turnover,00:00:23.5,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,11:48,Paris Jamison,12 Paris Jamison > No Play Type > Turnover,
22,Keegan Ocorr,,,,"Offense, Transition, 2FGM",Make 2 Pts,00:00:09.3,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,11:43,Keegan Ocorr,1 Keegan Ocorr > Transition > Ballhandler > To Basket > Make 2 Pts,
23,Cody Schneider,,,,"Offense, Defense, Iso, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:25.1,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,11:18,Cody Schneider,22 Cody Schneider > ISO > Right > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,
24,Brody Brown,,,,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,00:00:16.8,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,11:08,Brody Brown,12 Brody Brown > Transition > Left Wing > To Basket > Miss 2 Pts,
25,Zy Switzer,,,,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:26.1,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,10:51,Zy Switzer,4 Zy Switzer > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
26,Chase Dickens,,,,"Defense, Foul",Non Shooting Foul,00:00:24.9,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,10:32,Chase Dickens,11 Chase Dickens > Non Possession > Non Shooting Foul,
27,Brock Bowen,,,,"Offense, Off Screen, 2FGM, Assist",Make 2 Pts,00:00:08.3,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,10:29,Brock Bowen,10 Brock Bowen > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Short to < 17' > Make 2 Pts,
28,Paris Jamison,,,,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:13.8,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,10:15,Paris Jamison,12 Paris Jamison > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
29,Kenny Wilburn,,,,"Offense, Defense, Post Up, 2FGm, Def Reb",Miss 2 Pts,00:00:34.3,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,9:41,Kenny Wilburn,3 Kenny Wilburn > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts,
30,Emmanuel Leftenant,,,,,No Violation,00:00:07.4,,,Alfred State Pioneers,ASU@RIT,11/21/2023,,,Emmanuel Leftenant,0 Emmanuel Leftenant > Non Possession > No Violation,
31,Ryan Rosa,,,,"Offense, Defense, Handoff, Turnover, Steal",Turnover,00:00:21.7,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,9:25,Ryan Rosa,10 Ryan Rosa > Hand Off > From Dribble > Right > Turnover,
32,Matt Caggiano,,,,"Offense, Transition, 2FGM",Make 2 Pts,00:00:10.1,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,9:21,Matt Caggiano,5 Matt Caggiano > Transition > Ballhandler > To Basket > Make 2 Pts,
33,Emmanuel Leftenant,,,,"Offense, Defense, P&R BH, Spot Up, Turnover, Steal",Turnover,00:00:27.5,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,8:53,Paris Jamison,0 Emmanuel Leftenant > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Paris Jamison > Spot-Up > Drives Right > Turnover,
34,Keegan Ocorr,,,,"Offense, Defense, Transition, 3FGm, Def Reb",Miss 3 Pts,00:00:15.9,,,Rochester Institute of Technology Tigers,ASU@RIT,11/21/2023,1,8:47,Keegan Ocorr,1 Keegan Ocorr > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
35,Emmanuel Leftenant,,,,"Defense, Foul",Non Shooting Foul,00:00:16.4,,,Alfred State Pioneers,ASU@RIT,11/21/2023,1,8:38,Emmanuel Leftenant,0 Emmanuel Leftenant > Non Possession > Non Shooting Foul,
