#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Carter Meshanic,,,,"Offense, Defense, Spot Up, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:21.6,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,19:44,Carter Meshanic,23 Carter Meshanic > Spot-Up > Drives Right > To Basket > Miss 2 Pts,
2,Kenny Wilburn,,,,"Offense, Iso, 2FGM",Make 2 Pts,00:00:34.2,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,19:15,Kenny Wilburn,3 Kenny Wilburn > ISO > Top > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts,
3,Aidan Rodgers,,,,,No Violation,00:00:06.9,,,Hobart College Statesmen,HOB@RIT,01/05/2024,,,Aidan Rodgers,55 Aidan Rodgers > Non Possession > No Violation,
4,Isaiah Washington,,,,"Offense, Iso, 2FGM",Make 2 Pts,00:00:14.4,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,18:58,Isaiah Washington,22 Isaiah Washington > ISO > Left > Drives Right > To Basket > Make 2 Pts,
5,Keegan Ocorr,,,,"Offense, Defense, Turnover, Steal",Turnover,00:00:14.6,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,18:45,Keegan Ocorr,1 Keegan Ocorr > No Play Type > Turnover,
6,Aidan Rodgers,,,,"Offense, P&R BH, 2FGm",Miss 2 Pts,00:00:19.1,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,18:35,Aidan Rodgers,55 Aidan Rodgers > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts,
7,Carter Meshanic,,,,"Offense, Off Reb, Off Reb",Run Offense,00:00:11.2,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,18:35,Carter Meshanic,23 Carter Meshanic > Offensive Rebound > Short > Run Offense,
8,Carter Meshanic,,,,"Offense, Post Up, 2FGM",Make 2 Pts,00:00:11.2,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,18:31,Carter Meshanic,23 Carter Meshanic > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Make 2 Pts,
9,Chase Dickens,,,,"Offense, Transition, 2FGm",Miss 2 Pts,00:00:12.3,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,18:20,Chase Dickens,11 Chase Dickens > Transition > Right Wing > To Basket > Miss 2 Pts,
10,Pat Healy,,,,"Offense, Defense, P&R BH, 2FGM, Foul",1 Pts,00:00:23.2,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,18:00,Pat Healy,3 Pat Healy > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Make 2 Pts Foul > 1 Pts,
11,Pat Healy,,,,"Offense, FTM",Free Throw,00:00:10.7,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,18:00,Pat Healy,3 Pat Healy > Non Possession > Free Throw,
12,Keegan Ocorr,,,,"Offense, P&R BH, Spot Up, 3FGm",Miss 3 Pts,00:00:27.4,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,17:37,Brock Bowen,1 Keegan Ocorr > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 10 Brock Bowen > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
13,Brock Bowen,,,,"Offense, Off Reb, Off Reb",Run Offense,00:00:07.6,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,17:37,Brock Bowen,10 Brock Bowen > Offensive Rebound > Long > Run Offense,
14,Jackson Otis,,,,"Offense, Cut, 2FGM, Assist",Make 2 Pts,00:00:11.7,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,17:30,Jackson Otis,25 Jackson Otis > Cut > Flash > Make 2 Pts,
15,Aidan Rodgers,,,,"Offense, Defense, Turnover, Steal",Turnover,00:00:21.8,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,17:09,Aidan Rodgers,55 Aidan Rodgers > No Play Type > Turnover,
16,Kenny Wilburn,,,,"Offense, Transition, 2FGM",Make 2 Pts,00:00:10.7,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,17:03,Kenny Wilburn,3 Kenny Wilburn > Transition > Ballhandler > To Basket > Make 2 Pts,
17,Aidan Rodgers,,,,"Offense, Defense, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:22.2,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,16:39,Aidan Rodgers,55 Aidan Rodgers > No Play Type > To Basket > Miss 2 Pts,
18,Chase Dickens,,,,"Offense, Transition, 2FGM",Make 2 Pts,00:00:17.3,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,16:27,Chase Dickens,11 Chase Dickens > Transition > Ballhandler > Dribble Jumper > Short to < 17' > Make 2 Pts,
19,Ryan Lucey,,,,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:17.5,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,16:09,Ryan Lucey,1 Ryan Lucey > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
20,Keegan Ocorr,,,,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:12.8,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,15:54,Keegan Ocorr,1 Keegan Ocorr > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
21,Aidan Rodgers,,,,"Offense, P&R BH, Spot Up, 2FGm",Miss 2 Pts,00:00:30.2,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,15:22,Pat Healy,55 Aidan Rodgers > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Pat Healy > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,
22,Ryan Lucey,,,,"Offense, Off Reb, Off Reb, Foul, Turnover",Turnover,00:00:11.1,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,15:22,Ryan Lucey,1 Ryan Lucey > Offensive Rebound > Short > Turnover,
23,Kenny Wilburn,,,,"Offense, Defense, Spot Up, 2FGm, Def Reb",Miss 2 Pts,00:00:18.3,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,15:01,Kenny Wilburn,3 Kenny Wilburn > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,
24,Carter Meshanic,,,,"Offense, Iso, 2FGM",Make 2 Pts,00:00:23.5,,,Hobart College Statesmen,HOB@RIT,01/05/2024,1,14:44,Carter Meshanic,23 Carter Meshanic > ISO > Right > Drives Right > To Basket > Make 2 Pts,
25,Keegan Ocorr,,,,"Offense, P&R BH, P&R Roll Man, 3FGM, Assist",Make 3 Pts,00:00:09.3,,,Rochester Institute of Technology Tigers,HOB@RIT,01/05/2024,1,14:30,Jackson Otis,1 Keegan Ocorr > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 25 Jackson Otis > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
