#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Gavin Schauder,,,,,No Violation,00:00:08.3,,,Ithaca College,IC@RIT,01/16/2024,,,Gavin Schauder,10 Gavin Schauder > Non Possession > No Violation,
2,Andrew Geschickter,,,,"Offense, Handoff, 3FGM, Assist",Make 3 Pts,00:00:29.5,,,Ithaca College,IC@RIT,01/16/2024,1,19:33,Andrew Geschickter,4 Andrew Geschickter > Hand Off > From Stationary > Right > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
3,Josiah Turner,,,,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:18.7,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,19:14,Josiah Turner,33 Josiah Turner > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
4,Aidan Holmes,,,,"Offense, Defense, P&R BH, P&R Roll Man, 2FGm, Def Reb",Miss 2 Pts,00:00:11.4,,,Ithaca College,IC@RIT,01/16/2024,1,19:01,Gavin Schauder,3 Aidan Holmes > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 10 Gavin Schauder > P&R Roll Man > Rolls to Basket > Miss 2 Pts,
5,Josiah Turner,,,,"Offense, Transition, 2FGM, Assist",Make 2 Pts,00:00:10.9,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,18:55,Josiah Turner,33 Josiah Turner > Transition > Leak Outs > To Basket > Make 2 Pts,
6,Andrew Geschickter,,,,"Offense, Defense, Transition, 3FGm, Def Reb",Miss 3 Pts,00:00:10.1,,,Ithaca College,IC@RIT,01/16/2024,1,18:46,Andrew Geschickter,4 Andrew Geschickter > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
7,Keegan Ocorr,,,,"Offense, Spot Up, 2FGm",Miss 2 Pts,00:00:36.1,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,18:18,Keegan Ocorr,1 Keegan Ocorr > Spot-Up > Drives Left > To Basket > Miss 2 Pts,
8,Josiah Turner,,,,"Offense, Off Reb, 2FGM, Off Reb",Make 2 Pts,00:00:08.3,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,18:18,Josiah Turner,33 Josiah Turner > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,
9,Logan Wendell,,,,"Offense, Defense, Handoff, Foul",Foul,00:00:15.8,,,Ithaca College,IC@RIT,01/16/2024,1,18:03,Logan Wendell,1 Logan Wendell > Hand Off > From Dribble > Left > No Dribble Jumper > Guarded > Long/3pt > Foul,
10,Logan Wendell,,,,"Offense, FTM",Free Throw,00:00:05.9,,,Ithaca College,IC@RIT,01/16/2024,1,18:03,Logan Wendell,1 Logan Wendell > Non Possession > Free Throw,
11,Logan Wendell,,,,"Offense, FTM",Free Throw,00:00:06.2,,,Ithaca College,IC@RIT,01/16/2024,1,18:03,Logan Wendell,1 Logan Wendell > Non Possession > Free Throw,
12,Logan Wendell,,,,"Offense, FTM",Free Throw,00:00:08.0,,,Ithaca College,IC@RIT,01/16/2024,1,18:03,Logan Wendell,1 Logan Wendell > Non Possession > Free Throw,
13,Chase Dickens,,,,"Offense, Defense, Spot Up, 2FGm, Def Reb",Miss 2 Pts,00:00:15.1,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,17:50,Chase Dickens,11 Chase Dickens > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts,
14,Logan Wendell,,,,"Offense, P&R BH, Spot Up, 3FGm",Miss 3 Pts,00:00:20.1,,,Ithaca College,IC@RIT,01/16/2024,1,17:38,Evan Cabral,1 Logan Wendell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Evan Cabral > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
15,Andrew Geschickter,,,,"Offense, Off Reb, Off Reb",Run Offense,00:00:07.4,,,Ithaca College,IC@RIT,01/16/2024,1,17:38,Andrew Geschickter,4 Andrew Geschickter > Offensive Rebound > Long > Run Offense,
16,Logan Wendell,,,,"Offense, Spot Up, Turnover",Turnover,00:00:11.1,,,Ithaca College,IC@RIT,01/16/2024,1,17:34,Logan Wendell,1 Logan Wendell > Spot-Up > Drives Right > Turnover,
17,Brock Bowen,,,,"Offense, Off Screen, 3FGM, Assist",Make 3 Pts,00:00:25.4,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,17:16,Brock Bowen,10 Brock Bowen > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
18,Andrew Geschickter,,,,"Offense, Defense, Handoff, 3FGm, Def Reb",Miss 3 Pts,00:00:19.9,,,Ithaca College,IC@RIT,01/16/2024,1,16:56,Andrew Geschickter,4 Andrew Geschickter > Hand Off > From Dribble > Top > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
19,Chase Dickens,,,,"Offense, Iso, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:28.9,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,16:31,Jackson Otis,11 Chase Dickens > ISO > Top > Drives Left > Defense Commits > Ball Delivered > 25 Jackson Otis > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
