#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Keegan Ocorr,,,,"Offense, Spot Up, 2FGM",Make 2 Pts,00:00:27.0,,,Rochester Institute of Technology Tigers,RPI@RIT,01/06/2024,1,19:35,Keegan Ocorr,1 Keegan Ocorr > Spot-Up > Drives Left > To Basket > Make 2 Pts,
2,Andrew Deppe,,,,"Offense, Defense, Cut, Turnover, Steal",Turnover,00:00:26.7,,,Rensselaer Polytechnic,RPI@RIT,01/06/2024,1,19:07,Andrew Deppe,41 Andrew Deppe > Cut > Basket > Turnover,
3,Kenny Wilburn,,,,,No Violation,00:00:23.5,,,Rochester Institute of Technology Tigers,RPI@RIT,01/06/2024,,,Kenny Wilburn,3 Kenny Wilburn > Non Possession > No Violation,
4,Brock Bowen,,,,"Offense, Defense, Spot Up, Turnover, Steal",Turnover,00:00:11.1,,,Rochester Institute of Technology Tigers,RPI@RIT,01/06/2024,1,18:42,Brock Bowen,10 Brock Bowen > Spot-Up > Drives Right > Turnover,
5,Andrew Deppe,,,,"Offense, Transition, 2FGM, Assist",Make 2 Pts,00:00:10.5,,,Rensselaer Polytechnic,RPI@RIT,01/06/2024,1,18:36,Andrew Deppe,41 Andrew Deppe > Transition > First Middle > Dribble Jumper > Short to < 17' > Make 2 Pts,
6,Brock Bowen,,,,"Offense, Defense, P&R BH, 3FGm, Def Reb",Miss 3 Pts,00:00:20.3,,,Rochester Institute of Technology Tigers,RPI@RIT,01/06/2024,1,18:17,Brock Bowen,10 Brock Bowen > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts,
7,Avery Eugster,,,,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:26.3,,,Rensselaer Polytechnic,RPI@RIT,01/06/2024,1,17:56,Avery Eugster,12 Avery Eugster > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
8,Kenny Wilburn,,,,"Offense, Defense, Post Up, 2FGm, Def Reb",Miss 2 Pts,00:00:13.5,,,Rochester Institute of Technology Tigers,RPI@RIT,01/06/2024,1,17:41,Kenny Wilburn,3 Kenny Wilburn > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts,
9,Jonny Angbazo,,,,"Offense, Defense, Iso, 2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:26.1,,,Rensselaer Polytechnic,RPI@RIT,01/06/2024,1,17:23,Jonny Angbazo,11 Jonny Angbazo > ISO > Left > Drives Right > To Basket > Miss 2 Pts,
10,Jonny Angbazo,,,,"Offense, Off Reb, Off Reb",Run Offense,00:00:06.9,,,Rensselaer Polytechnic,RPI@RIT,01/06/2024,1,17:18,Jonny Angbazo,11 Jonny Angbazo > Offensive Rebound > Long > Run Offense,
11,Dyland Matchett,,,,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:12.5,,,Rensselaer Polytechnic,RPI@RIT,01/06/2024,1,17:16,Dyland Matchett,32 Dyland Matchett > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
12,Chase Dickens,,,,"Offense, Defense, Spot Up, 2FGm, Def Reb",Miss 2 Pts,00:00:38.1,,,Rochester Institute of Technology Tigers,RPI@RIT,01/06/2024,1,16:45,Chase Dickens,11 Chase Dickens > Spot-Up > Drives Right > To Basket > Miss 2 Pts,
13,Dyland Matchett,,,,"Offense, Off Screen, 3FGm",Miss 3 Pts,00:00:12.7,,,Rensselaer Polytechnic,RPI@RIT,01/06/2024,1,16:30,Dyland Matchett,32 Dyland Matchett > Off Screen > To Shooter's Left > Flare > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
