#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Logan Jagodzinski,,,,"Offense, Defense, Turnover, Steal",Turnover,00:00:14.8,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,1,19:46,Logan Jagodzinski,12 Logan Jagodzinski > No Play Type > Turnover,
2,Brock Bowen,,,,"Offense, Defense, Off Screen, 3FGm, Def Reb",Miss 3 Pts,00:00:21.5,,,Rochester Institute of Technology Tigers,ROY@RIT,12/31/2023,1,19:33,Brock Bowen,10 Brock Bowen > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
3,Matt Niemczura,,,,"Offense, Defense, Off Screen, 2FGm, Def Reb",Miss 2 Pts,00:00:31.9,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,1,19:05,Matt Niemczura,5 Matt Niemczura > Off Screen > To Shooter's Right > Flare > To Basket > Miss 2 Pts,
4,Brock Bowen,,,,"Offense, Defense, P&R BH, P&R Roll Man, 3FGm, Def Reb",Miss 3 Pts,00:00:33.3,,,Rochester Institute of Technology Tigers,ROY@RIT,12/31/2023,1,18:39,Kenny Wilburn,10 Brock Bowen > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Kenny Wilburn > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
5,Malachi Moore,,,,"Offense, Handoff, 2FGM",Make 2 Pts,00:00:12.9,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,1,18:24,Malachi Moore,23 Malachi Moore > Hand Off > From Dribble > Left > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,
6,Keegan Ocorr,,,,"Offense, Defense, Spot Up, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:16.4,,,Rochester Institute of Technology Tigers,ROY@RIT,12/31/2023,1,18:03,Keegan Ocorr,1 Keegan Ocorr > Spot-Up > Drives Right > To Basket > Miss 2 Pts,
7,Malachi Moore,,,,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,00:00:12.4,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,1,17:54,Malachi Moore,23 Malachi Moore > Transition > Ballhandler > To Basket > Miss 2 Pts,
8,Chase Dickens,,,,"Offense, Defense, Transition Turnover, Turnover, Steal",Turnover,00:00:09.8,,,Rochester Institute of Technology Tigers,ROY@RIT,12/31/2023,1,17:49,Chase Dickens,11 Chase Dickens > Transition > Ballhandler > Turnover,
9,Malachi Moore,,,,,No Violation,00:00:09.0,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,,,Malachi Moore,23 Malachi Moore > Non Possession > No Violation,
10,Tomiwa Adetosoye,,,,"Offense, Defense, P&R BH, 2FGm, Def Reb",Miss 2 Pts,00:00:30.0,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,1,17:26,Tomiwa Adetosoye,15 Tomiwa Adetosoye > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,
11,Chase Dickens,,,,"Offense, Transition, 2FGM",Make 2 Pts,00:00:15.1,,,Rochester Institute of Technology Tigers,ROY@RIT,12/31/2023,1,17:16,Chase Dickens,11 Chase Dickens > Transition > Ballhandler > To Basket > Make 2 Pts,
12,Tomiwa Adetosoye,,,,"Offense, P&R BH, Spot Up, 3FGm",Miss 3 Pts,00:00:20.2,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,1,17:06,Malachi Moore,15 Tomiwa Adetosoye > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 23 Malachi Moore > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
13,C.J. Amsellem,,,,"Offense, Off Reb, Off Reb",Run Offense,00:00:06.9,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,1,17:06,C.J. Amsellem,24 C.J. Amsellem > Offensive Rebound > Short > Run Offense,
14,Tomiwa Adetosoye,,,,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:23.3,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,1,16:46,Tomiwa Adetosoye,15 Tomiwa Adetosoye > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
15,Brock Bowen,,,,"Offense, Spot Up, 3FGm",Miss 3 Pts,00:00:22.2,,,Rochester Institute of Technology Tigers,ROY@RIT,12/31/2023,1,16:32,Brock Bowen,10 Brock Bowen > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
16,Brock Bowen,,,,"Offense, Off Reb, 2FGM, Off Reb",Make 2 Pts,00:00:08.3,,,Rochester Institute of Technology Tigers,ROY@RIT,12/31/2023,1,16:32,Brock Bowen,10 Brock Bowen > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,
17,Malachi Moore,,,,"Offense, Defense, Handoff, 2FGm, Def Reb",Miss 2 Pts,00:00:20.2,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,1,16:07,Malachi Moore,23 Malachi Moore > Hand Off > From Stationary > Top > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,
18,Brock Bowen,,,,,No Violation,00:00:13.6,,,Rochester Institute of Technology Tigers,ROY@RIT,12/31/2023,1,15:57,Brock Bowen,10 Brock Bowen > Non Possession > No Violation,
19,Brock Bowen,,,,"Offense, Spot Up, 2FGM",Make 2 Pts,00:00:16.8,,,Rochester Institute of Technology Tigers,ROY@RIT,12/31/2023,1,15:47,Brock Bowen,10 Brock Bowen > Spot-Up > Drives Right > To Basket > Make 2 Pts,
20,Tomiwa Adetosoye,,,,"Offense, P&R BH, 2FGm",Miss 2 Pts,00:00:12.7,,,Rochester (NY) Yellowjackets,ROY@RIT,12/31/2023,1,15:36,Tomiwa Adetosoye,15 Tomiwa Adetosoye > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Miss 2 Pts,
